template_row_index,rank_G,rank_C,rank_A,rank_Q
0,3,26,20,11
1,47,42,43,47
2,19,48,45,12
3,15,47,25,9
4,35,36,47,31
5,22,2,18,33
6,42,41,44,32
7,17,33,22,8
8,2,32,33,3
9,8,40,38,19
10,36,16,34,29
11,33,35,28,30
12,26,9,7,34
13,20,49,17,15
14,45,17,1,48
15,6,45,9,2
16,46,20,32,35
17,25,15,26,24
18,32,13,42,27
19,49,5,16,49
20,7,46,37,6
21,30,30,21,41
22,23,34,46,20
23,29,18,6,40
24,31,3,4,44
25,37,28,15,46
26,34,19,12,45
27,48,12,39,36
28,24,38,14,22
29,41,8,19,37
30,44,21,24,43
31,40,6,0,28
32,43,7,11,42
33,39,4,27,39
34,13,29,13,17
35,10,31,41,13
36,5,14,10,16
37,18,37,29,7
38,0,11,36,1
39,28,27,31,26
40,12,44,8,14
41,14,22,23,4
42,11,24,2,21
43,16,1,3,23
44,1,23,30,0
45,38,25,48,38
46,27,10,5,25
47,4,39,40,5
48,21,43,49,18
49,9,0,35,10
