building_id,year,Area,EnergyLabel
area_core_01,1970,76,C
area_core_02,1970,85,C
area_core_03,1970,95,C
area_core_04,1970,105,C
area_core_05,1970,120,C
area_core_06,1970,140,C
area_core_07,1970,170,C
area_core_08,1970,217,C
area_old_01,1958,80,D
area_old_02,1958,90,D
area_old_03,1958,100,D
area_old_04,1958,110,D
area_old_05,1958,125,D
area_old_06,1958,145,D
area_old_07,1958,175,D
area_old_08,1958,210,D
area_weak_01,2001,78,B
area_weak_02,2001,88,B
area_weak_03,2001,100,B
area_weak_04,2001,115,B
area_weak_05,2001,135,B
area_weak_06,2001,160,B
area_weak_07,2001,190,B
area_weak_08,2001,215,B
year_area100_01,1946,100,C
year_area100_02,1955,100,C
year_area100_03,1964,100,C
year_area100_04,1965,100,C
year_area100_05,1970,100,C
year_area100_06,1974,100,C
year_area100_07,1975,100,C
year_area100_08,1985,100,C
year_area140_01,1950,140,B
year_area140_02,1964,140,B
year_area140_03,1968,140,B
year_area140_04,1974,140,B
year_area140_05,1978,140,B
year_area140_06,1991,140,B
year_area140_07,1995,140,B
year_area140_08,2005,140,A
