community_id,parameter_draw_id,residual_realization_id,building_count,log_R_median,log_C_median,log_A_median,Qint_mean,log_tau_p10,log_tau_p50,log_tau_p90,robust_medoid_distance,is_selected_typical
shrunk_copula__b031__r001,31,1,40,1.673584832797166,2.392551932865241,1.3551872032451655,-0.2036623742792337,2.928161961629971,4.295542421707822,5.544425987658708,0.5722236681462568,True
shrunk_copula__b003__r000,3,0,40,1.6931654303028059,2.3778125447054452,1.205465177459709,-0.19574188701839546,3.048061469132265,4.292682110808743,5.502644213679404,0.7161298568456056,False
shrunk_copula__b006__r000,6,0,40,1.7780975964783938,2.5627633011078728,1.2560588792333671,-0.0920673494206265,3.0682391117802195,4.413722329100372,5.36511136137015,1.148850545532433,False
shrunk_copula__b019__r001,19,1,40,1.7864115727513683,2.3900443064518555,1.4504516255805875,-0.08140646608080324,3.0263602595102066,4.0914009357545815,5.403886251101974,1.382336971129559,False
shrunk_copula__b009__r000,9,0,40,1.661764369311288,2.5735610346305604,1.2392184777622577,-0.2424623790539731,3.2174669532883033,4.399208720156448,5.820266857904029,1.455767389031549,False
shrunk_copula__b034__r001,34,1,40,1.7263300263964587,2.3202553560774533,1.3375319038057216,-0.38878397962354116,3.233468875382914,4.269796531505461,5.570344435796723,1.6806642668262206,False
shrunk_copula__b043__r001,43,1,40,1.702533763848248,2.543062884214114,1.595696576166824,-0.22279781076859972,3.1748544847054916,4.441232052283785,5.740282037806513,1.6845052973645558,False
shrunk_copula__b042__r001,42,1,40,1.734823219245063,2.319360200390568,1.1534746761904744,-0.048709879713908236,2.905804090714253,4.273156242578127,5.546830444490616,1.7115860292825307,False
shrunk_copula__b010__r000,10,0,40,1.7373562067831836,2.3655326433819193,1.459609490449562,0.01159959707804839,3.0397397247932965,4.197646424349377,5.228941048257331,1.810752988043442,False
shrunk_copula__b006__r001,6,1,40,1.555022482049123,2.5997502492753757,1.3629255245722849,0.03387075836511266,2.950448313488489,4.364537653648872,5.794412345698016,1.8277915501816198,False
shrunk_copula__b047__r000,47,0,40,1.7022187480952105,2.582117925617752,1.5895421782443249,-0.11057694232277063,2.7916538145794947,4.3204061744334386,5.687493324573359,2.068136057956365,False
shrunk_copula__b011__r001,11,1,40,1.6548469541532569,2.471150488434283,1.3032941292726097,-0.04198135975559093,2.823917211744056,4.250557817816291,5.195655968261096,2.083133013733664,False
shrunk_copula__b000__r001,0,1,40,1.5522326367280646,2.499125217307889,1.6486557818250345,-0.14411010524358456,2.9611047977435767,4.178791798123921,5.709201085167472,2.321973900438864,False
