community_id,parameter_draw_id,residual_realization_id,building_id,year,period,Area,EnergyLabel,support_level,z_G,z_C,z_A,z_Q,G,R,C,A,Qint,tau_hours,energy_label_effect_used,selected_realization_id,model_version,selection_rule
shrunk_copula__b031__r001,31,1,area_core_01,1970,1965 - 1974,76.0,C,core,-2.382706940828071,2.2573033999376366,0.6181908070465879,-0.38647328422417015,0.09230038735117023,10.834190718998338,9.557282219066293,1.8555679228005062,-0.38647328422417015,103.54541831665587,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_core_02,1970,1965 - 1974,85.0,C,core,-2.046240145002869,3.115366072952055,0.9903422383728,-0.8274029228174137,0.12921983923093994,7.73874976127167,22.541680742894137,2.6921556736821333,-0.8274029228174137,174.4444264677342,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_core_03,1970,1965 - 1974,95.0,C,core,-1.251125139504503,1.6653483042616708,1.2698908459295255,0.9059980222338538,0.2861826202758023,3.494272290316832,5.287514592934676,3.560463902016295,0.9059980222338538,18.476015726737522,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_core_04,1970,1965 - 1974,105.0,C,core,-2.7968289058085354,3.1008350803664744,2.411133119958593,-0.7745534329631221,0.06100320313311364,16.392581842266935,22.21649609686065,11.14658440914256,-0.7745534329631221,364.1857305161921,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_core_05,1970,1965 - 1974,120.0,C,core,-1.5046869042220319,1.7319418018077553,-1.9425746790497398,-0.5213357153389058,0.2220868173924828,4.5027436195492445,5.6516175815798375,0.14333443412507582,-0.5213357153389058,25.447785005590944,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_core_06,1970,1965 - 1974,140.0,C,core,-1.0469642498181402,2.127984726264124,1.863053303338341,0.5285441109633727,0.35100168680409716,2.8489891575880804,8.397925627659147,6.443380362017447,0.5285441109633727,23.925599059431985,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_core_07,1970,1965 - 1974,170.0,C,core,-1.0845267674618477,3.3166346448386097,0.9562782545672004,0.6056252351958358,0.3380617298568568,2.9580396468521393,27.567420114681042,2.601994469394737,0.6056252351958358,81.54552166065568,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_core_08,1970,1965 - 1974,217.0,C,core,-1.8481938914564475,3.7742619732392364,2.0715027480521444,-0.3887235146918647,0.15752141031356134,6.3483433649394385,43.56534405838515,7.936741082960038,-0.3887235146918647,276.56776289435317,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_old_01,1958,1946 - 1964,80.0,D,weak,-2.8481021430157485,2.842997739429311,1.8031047425109388,-2.8631911764290376,0.057954205362749096,17.255003217467365,17.16715112417847,6.068459249835624,-2.8631911764290376,296.219247882448,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_old_02,1958,1946 - 1964,90.0,D,weak,-1.3277584016543764,3.0403604937079356,1.8966867035658836,-1.3287918057765613,0.2650707780557744,3.772577299296216,20.912780802283013,6.663778750218654,-1.3287918057765613,78.8950821198506,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_old_03,1958,1946 - 1964,100.0,D,weak,-2.148253025319624,2.6867544525990326,1.803435554610224,1.5773712983718924,0.11668783050154224,8.569873959451009,14.683941072704144,6.070467101672019,1.5773712983718924,125.83952422108035,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_old_04,1958,1946 - 1964,110.0,D,weak,-1.1040034535401295,1.8254572322969298,1.8815112839861339,0.8617188518863703,0.3315411137923615,3.0162171700559672,6.205631785800089,6.563416556948701,0.8617188518863703,18.717533143375302,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_old_05,1958,1946 - 1964,125.0,D,weak,-2.0459261412019094,2.422948597785853,0.8394335896639562,-1.0374296920454475,0.12926042112271852,7.7363201459061495,11.279067765880113,2.3150553340824302,-1.0374296920454475,87.25847918421897,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_old_06,1958,1946 - 1964,145.0,D,weak,-2.078663882775868,2.2396373452112788,2.546233161719707,0.4931764488772037,0.1250972451698813,7.993781147154808,9.389925368493083,12.758952240346693,0.4931764488772037,75.06100838385068,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_old_07,1958,1946 - 1964,175.0,D,weak,-1.5831777261528637,2.3632919890929216,1.080458611635025,-1.6263580864849627,0.20532160461023405,4.870408069809892,10.625874200212541,2.9460303250857285,-1.6263580864849627,51.752343453499904,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_old_08,1958,1946 - 1964,210.0,D,weak,-0.8545665091439683,2.0139472732814534,1.9624037317167184,1.879599521862678,0.4254675874210081,2.350355302178357,7.492835319900988,7.11641246892746,1.879599521862678,17.610825222478553,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_weak_01,2001,1992 - 2005,78.0,B,nearly_unsupported,-1.8831280869536333,2.716492959634512,1.441800153321948,-0.7706997524841734,0.15211353640160327,6.574036891495608,15.127177486955892,4.228300559389962,-0.7706997524841734,99.44662286344986,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_weak_02,2001,1992 - 2005,88.0,B,nearly_unsupported,-1.9582348398412166,3.5775211614800493,-0.2914264269844695,-2.1884966585052528,0.14110727816551497,7.086806669369864,35.784726256156375,0.7471969851161259,-2.1884966585052528,253.59943669370386,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_weak_03,2001,1992 - 2005,100.0,B,nearly_unsupported,-1.9965619603224956,3.661298370525341,1.4807616060046151,-1.3472016105050335,0.13580137206699056,7.363695850633246,38.911832063238336,4.396292649101043,-1.3472016105050335,286.53489630460587,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_weak_04,2001,1992 - 2005,115.0,B,nearly_unsupported,-2.039991043517594,2.2327925719109025,-0.5721456575545769,-1.030548247870298,0.13002987548350253,7.6905403183814816,9.325872920357863,0.5643133156352267,-1.030548247870298,71.7210016981142,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_weak_05,2001,1992 - 2005,135.0,B,nearly_unsupported,-2.0039679218680604,2.0240979947378164,1.3294857497355574,0.14651464727690772,0.13479934738569505,7.418433541363869,7.569280333784485,3.779099484875931,0.14651464727690772,56.152203112132725,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_weak_06,2001,1992 - 2005,160.0,B,nearly_unsupported,-0.7786901023955045,3.051342187576784,1.3808886567547736,-0.3316178508626873,0.45900686968688165,2.1786166309061232,21.143704203319345,3.9784355206520314,-0.3316178508626873,46.06402561631123,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_weak_07,2001,1992 - 2005,190.0,B,nearly_unsupported,-1.1192190115686582,2.4218118766375603,1.0326343870621448,1.0439752561773055,0.326534714899957,3.0624615220662768,11.26625389529622,2.808454654526708,1.0439752561773055,34.50246905217398,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,area_weak_08,2001,1992 - 2005,215.0,B,nearly_unsupported,-1.2327038960863694,1.9981016006936012,-2.0329293863832376,-1.2862327516656578,0.2915033164450375,3.4304927031200636,7.375042026319161,0.1309513516264116,-1.2862327516656578,25.30002785649169,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
shrunk_copula__b031__r001,31,1,year_area100_01,1946,1946 - 1964,100.0,C,weak,-0.7473157952576337,1.6819625105130849,1.2276739126632559,1.9175416800168557,0.4736361844955024,2.1113251747544552,5.376096270465032,3.413280706009992,1.9175416800168557,11.35068739773636,False,shrunk_copula__b031__r001,task102b_copula_deploy_v1_20260830,whole_community_robust_medoid_v1
