typical_day_id,display_day_label,weight,timestep_index,hour,outdoor_temperature_C,solar_radiation_W_m2,setpoint_C,building_id,heat_kw
day_1,Cold cloudy day,0.45,0,0.0,-1.3978,0.0,20.0,area_core_01,2.3614985126870405
day_1,Cold cloudy day,0.45,1,0.25,-1.4424,0.0,20.0,area_core_01,2.3656151099629024
day_1,Cold cloudy day,0.45,2,0.5,-1.4743,0.0,20.0,area_core_01,2.3685594923194047
day_1,Cold cloudy day,0.45,3,0.75,-1.4936,0.0,20.0,area_core_01,2.3703408897952825
day_1,Cold cloudy day,0.45,4,1.0,-1.5,0.0,20.0,area_core_01,2.37093161227433
day_1,Cold cloudy day,0.45,5,1.25,-1.4936,0.0,20.0,area_core_01,2.3703408897952825
day_1,Cold cloudy day,0.45,6,1.5,-1.4743,0.0,20.0,area_core_01,2.3685594923194047
day_1,Cold cloudy day,0.45,7,1.75,-1.4424,0.0,20.0,area_core_01,2.3656151099629024
day_1,Cold cloudy day,0.45,8,2.0,-1.3978,0.0,20.0,area_core_01,2.3614985126870405
day_1,Cold cloudy day,0.45,9,2.25,-1.3408,0.0,20.0,area_core_01,2.356237390608024
day_1,Cold cloudy day,0.45,10,2.5,-1.2716,0.0,20.0,area_core_01,2.3498502038033227
day_1,Cold cloudy day,0.45,11,2.75,-1.1906,0.0,20.0,area_core_01,2.3423738724278778
day_1,Cold cloudy day,0.45,12,3.0,-1.0981,0.0,20.0,area_core_01,2.3338360865978944
day_1,Cold cloudy day,0.45,13,3.25,-0.9944,0.0,20.0,area_core_01,2.324264536429578
day_1,Cold cloudy day,0.45,14,3.5,-0.8801,0.0,20.0,area_core_01,2.3137146021553394
day_1,Cold cloudy day,0.45,15,3.75,-0.7555,0.0,20.0,area_core_01,2.302213973891384
day_1,Cold cloudy day,0.45,16,4.0,-0.6213,0.0,20.0,area_core_01,2.2898272619088567
day_1,Cold cloudy day,0.45,17,4.25,-0.478,0.0,20.0,area_core_01,2.276600616401434
day_1,Cold cloudy day,0.45,18,4.5,-0.3263,0.0,20.0,area_core_01,2.2625986476402615
day_1,Cold cloudy day,0.45,19,4.75,-0.1667,0.0,20.0,area_core_01,2.2478675058190145
day_1,Cold cloudy day,0.45,20,5.0,0.0,0.0,20.0,area_core_01,2.2324810312475747
day_1,Cold cloudy day,0.45,21,5.25,0.1731,0.0,20.0,area_core_01,2.216503834197087
day_1,Cold cloudy day,0.45,22,5.5,0.3519,0.0,20.0,area_core_01,2.2000005249386976
day_1,Cold cloudy day,0.45,23,5.75,0.5357,0.0,20.0,area_core_01,2.183035713743553
day_1,Cold cloudy day,0.45,24,6.0,0.7235,0.0,20.0,area_core_01,2.1657017009990027
day_1,Cold cloudy day,0.45,25,6.25,0.9147,0.0,20.0,area_core_01,2.148053866937459
day_1,Cold cloudy day,0.45,26,6.5,1.1084,0.0,20.0,area_core_01,2.1301752819075377
day_1,Cold cloudy day,0.45,27,6.75,1.3038,0.0,20.0,area_core_01,2.112139786219119
day_1,Cold cloudy day,0.45,28,7.0,1.5,0.0,20.0,area_core_01,2.0940304502208194
day_1,Cold cloudy day,0.45,29,7.25,1.6962,4.5782,20.0,area_core_01,2.0674259531583545
day_1,Cold cloudy day,0.45,30,7.5,1.8916,9.1368,20.0,area_core_01,2.040931665537057
day_1,Cold cloudy day,0.45,31,7.75,2.0853,13.6563,20.0,area_core_01,2.014666841280039
day_1,Cold cloudy day,0.45,32,8.0,2.2765,18.1173,20.0,area_core_01,1.9887413187148821
day_1,Cold cloudy day,0.45,33,8.25,2.4643,22.5008,20.0,area_core_01,1.963273423980736
day_1,Cold cloudy day,0.45,34,8.5,2.6481,26.7878,20.0,area_core_01,1.9383537931005455
day_1,Cold cloudy day,0.45,35,8.75,2.8269,30.9602,20.0,area_core_01,1.914108312241063
