typical_day_id,display_day_label,weight,timestep_index,hour,outdoor_temperature_C,solar_radiation_W_m2,setpoint_C,building_id,heat_kw
day_1,Cold cloudy day,0.45,0,0.0,-1.3978,0.0,20.0,area_core_01,4.954911410587185
day_1,Cold cloudy day,0.45,1,0.25,-1.4424,0.0,20.0,area_core_01,4.9660093232637825
day_1,Cold cloudy day,0.45,2,0.5,-1.4743,0.0,20.0,area_core_01,4.973947067980901
day_1,Cold cloudy day,0.45,3,0.75,-1.4936,0.0,20.0,area_core_01,4.978749527950819
day_1,Cold cloudy day,0.45,4,1.0,-1.5,0.0,20.0,area_core_01,4.980342053536698
day_1,Cold cloudy day,0.45,5,1.25,-1.4936,0.0,20.0,area_core_01,4.978749527950819
day_1,Cold cloudy day,0.45,6,1.5,-1.4743,0.0,20.0,area_core_01,4.973947067980901
day_1,Cold cloudy day,0.45,7,1.75,-1.4424,0.0,20.0,area_core_01,4.9660093232637825
day_1,Cold cloudy day,0.45,8,2.0,-1.3978,0.0,20.0,area_core_01,4.954911410587185
day_1,Cold cloudy day,0.45,9,2.25,-1.3408,0.0,20.0,area_core_01,4.940727979587947
day_1,Cold cloudy day,0.45,10,2.5,-1.2716,0.0,20.0,area_core_01,4.923508796690624
day_1,Cold cloudy day,0.45,11,2.75,-1.1906,0.0,20.0,area_core_01,4.903353394744337
day_1,Cold cloudy day,0.45,12,3.0,-1.0981,0.0,20.0,area_core_01,4.8803364233859226
day_1,Cold cloudy day,0.45,13,3.25,-0.9944,0.0,20.0,area_core_01,4.854532532252219
day_1,Cold cloudy day,0.45,14,3.5,-0.8801,0.0,20.0,area_core_01,4.826091020616902
day_1,Cold cloudy day,0.45,15,3.75,-0.7555,0.0,20.0,area_core_01,4.795086538116812
day_1,Cold cloudy day,0.45,16,4.0,-0.6213,0.0,20.0,area_core_01,4.761693267237901
day_1,Cold cloudy day,0.45,17,4.25,-0.478,0.0,20.0,area_core_01,4.726035624041569
day_1,Cold cloudy day,0.45,18,4.5,-0.3263,0.0,20.0,area_core_01,4.688287791013769
day_1,Cold cloudy day,0.45,19,4.75,-0.1667,0.0,20.0,area_core_01,4.6485741842158985
day_1,Cold cloudy day,0.45,20,5.0,0.0,0.0,20.0,area_core_01,4.607093869346195
day_1,Cold cloudy day,0.45,21,5.25,0.1731,0.0,20.0,area_core_01,4.56402102889061
day_1,Cold cloudy day,0.45,22,5.5,0.3519,0.0,20.0,area_core_01,4.519529845335102
day_1,Cold cloudy day,0.45,23,5.75,0.5357,0.0,20.0,area_core_01,4.473794501165626
day_1,Cold cloudy day,0.45,24,6.0,0.7235,0.0,20.0,area_core_01,4.427063828504974
day_1,Cold cloudy day,0.45,25,6.25,0.9147,0.0,20.0,area_core_01,4.379487126626826
day_1,Cold cloudy day,0.45,26,6.5,1.1084,0.0,20.0,area_core_01,4.331288344441692
day_1,Cold cloudy day,0.45,27,6.75,1.3038,0.0,20.0,area_core_01,4.282666547647809
day_1,Cold cloudy day,0.45,28,7.0,1.5,0.0,20.0,area_core_01,4.233845685155691
day_1,Cold cloudy day,0.45,29,7.25,1.6962,4.5782,20.0,area_core_01,4.177932824800533
day_1,Cold cloudy day,0.45,30,7.5,1.8916,9.1368,20.0,area_core_01,4.122249392110784
day_1,Cold cloudy day,0.45,31,7.75,2.0853,13.6563,20.0,area_core_01,4.067049543056136
day_1,Cold cloudy day,0.45,32,8.0,2.2765,18.1173,20.0,area_core_01,4.012562395486008
day_1,Cold cloudy day,0.45,33,8.25,2.4643,22.5008,20.0,area_core_01,3.95904133083011
day_1,Cold cloudy day,0.45,34,8.5,2.6481,26.7878,20.0,area_core_01,3.9066650808813206
day_1,Cold cloudy day,0.45,35,8.75,2.8269,30.9602,20.0,area_core_01,3.855710516109668
day_1,Cold cloudy day,0.45,36,9.0,3.0,35.0,20.0,area_core_01,3.8063797024403527
day_1,Cold cloudy day,0.45,37,9.25,3.1667,38.8899,20.0,area_core_01,3.758873621442599
day_1,Cold cloudy day,0.45,38,9.5,3.3263,42.6133,20.0,area_core_01,3.7133921703296604
day_1,Cold cloudy day,0.45,39,9.75,3.478,46.1542,20.0,area_core_01,3.670159200079101
day_1,Cold cloudy day,0.45,40,10.0,3.6213,49.4975,20.0,area_core_01,3.6293225178596806
day_1,Cold cloudy day,0.45,41,10.25,3.7555,52.6288,20.0,area_core_01,3.591078612908747
day_1,Cold cloudy day,0.45,42,10.5,3.8801,55.5347,20.0,area_core_01,3.5555726589591328
day_1,Cold cloudy day,0.45,43,10.75,3.9944,58.2029,20.0,area_core_01,3.5229978921802747
day_1,Cold cloudy day,0.45,44,11.0,4.0981,60.6218,20.0,area_core_01,3.493446931536522
day_1,Cold cloudy day,0.45,45,11.25,4.1906,62.7811,20.0,area_core_01,3.4670850318251167
day_1,Cold cloudy day,0.45,46,11.5,4.2716,64.6716,20.0,area_core_01,3.4440010942185095
day_1,Cold cloudy day,0.45,47,11.75,4.3408,66.2851,20.0,area_core_01,3.4242824708091923
day_1,Cold cloudy day,0.45,48,12.0,4.3978,67.6148,20.0,area_core_01,3.408039228189997
day_1,Cold cloudy day,0.45,49,12.25,4.4424,68.655,20.0,area_core_01,3.3953299625412416
day_1,Cold cloudy day,0.45,50,12.5,4.4743,69.4011,20.0,area_core_01,3.3862364492675696
day_1,Cold cloudy day,0.45,51,12.75,4.4936,69.8501,20.0,area_core_01,3.380738452396576
day_1,Cold cloudy day,0.45,52,13.0,4.5,70.0,20.0,area_core_01,3.378913719725015
day_1,Cold cloudy day,0.45,53,13.25,4.4936,69.8501,20.0,area_core_01,3.380738452396576
day_1,Cold cloudy day,0.45,54,13.5,4.4743,69.4011,20.0,area_core_01,3.3862364492675696
day_1,Cold cloudy day,0.45,55,13.75,4.4424,68.655,20.0,area_core_01,3.3953299625412416
day_1,Cold cloudy day,0.45,56,14.0,4.3978,67.6148,20.0,area_core_01,3.408039228189997
day_1,Cold cloudy day,0.45,57,14.25,4.3408,66.2851,20.0,area_core_01,3.4242824708091923
day_1,Cold cloudy day,0.45,58,14.5,4.2716,64.6716,20.0,area_core_01,3.4440010942185095
day_1,Cold cloudy day,0.45,59,14.75,4.1906,62.7811,20.0,area_core_01,3.4670850318251167
day_1,Cold cloudy day,0.45,60,15.0,4.0981,60.6218,20.0,area_core_01,3.493446931536522
day_1,Cold cloudy day,0.45,61,15.25,3.9944,58.2029,20.0,area_core_01,3.5229978921802747
day_1,Cold cloudy day,0.45,62,15.5,3.8801,55.5347,20.0,area_core_01,3.5555726589591328
day_1,Cold cloudy day,0.45,63,15.75,3.7555,52.6288,20.0,area_core_01,3.591078612908747
day_1,Cold cloudy day,0.45,64,16.0,3.6213,49.4975,20.0,area_core_01,3.6293225178596806
day_1,Cold cloudy day,0.45,65,16.25,3.478,46.1542,20.0,area_core_01,3.670159200079101
day_1,Cold cloudy day,0.45,66,16.5,3.3263,42.6133,20.0,area_core_01,3.7133921703296604
day_1,Cold cloudy day,0.45,67,16.75,3.1667,38.8899,20.0,area_core_01,3.758873621442599
day_1,Cold cloudy day,0.45,68,17.0,3.0,35.0,20.0,area_core_01,3.8063797024403527
day_1,Cold cloudy day,0.45,69,17.25,2.8269,30.9602,20.0,area_core_01,3.855710516109668
day_1,Cold cloudy day,0.45,70,17.5,2.6481,26.7878,20.0,area_core_01,3.9066650808813206
day_1,Cold cloudy day,0.45,71,17.75,2.4643,22.5008,20.0,area_core_01,3.95904133083011
day_1,Cold cloudy day,0.45,72,18.0,2.2765,18.1173,20.0,area_core_01,4.012562395486008
day_1,Cold cloudy day,0.45,73,18.25,2.0853,13.6563,20.0,area_core_01,4.067049543056136
day_1,Cold cloudy day,0.45,74,18.5,1.8916,9.1368,20.0,area_core_01,4.122249392110784
day_1,Cold cloudy day,0.45,75,18.75,1.6962,4.5782,20.0,area_core_01,4.177932824800533
day_1,Cold cloudy day,0.45,76,19.0,1.5,0.0,20.0,area_core_01,4.233845685155691
day_1,Cold cloudy day,0.45,77,19.25,1.3038,0.0,20.0,area_core_01,4.282666547647809
day_1,Cold cloudy day,0.45,78,19.5,1.1084,0.0,20.0,area_core_01,4.331288344441692
day_1,Cold cloudy day,0.45,79,19.75,0.9147,0.0,20.0,area_core_01,4.379487126626826
day_1,Cold cloudy day,0.45,80,20.0,0.7235,0.0,20.0,area_core_01,4.427063828504974
day_1,Cold cloudy day,0.45,81,20.25,0.5357,0.0,20.0,area_core_01,4.473794501165626
day_1,Cold cloudy day,0.45,82,20.5,0.3519,0.0,20.0,area_core_01,4.519529845335102
day_1,Cold cloudy day,0.45,83,20.75,0.1731,0.0,20.0,area_core_01,4.56402102889061
day_1,Cold cloudy day,0.45,84,21.0,-0.0,0.0,20.0,area_core_01,4.607093869346195
day_1,Cold cloudy day,0.45,85,21.25,-0.1667,0.0,20.0,area_core_01,4.6485741842158985
day_1,Cold cloudy day,0.45,86,21.5,-0.3263,0.0,20.0,area_core_01,4.688287791013769
day_1,Cold cloudy day,0.45,87,21.75,-0.478,0.0,20.0,area_core_01,4.726035624041569
day_1,Cold cloudy day,0.45,88,22.0,-0.6213,0.0,20.0,area_core_01,4.761693267237901
day_1,Cold cloudy day,0.45,89,22.25,-0.7555,0.0,20.0,area_core_01,4.795086538116812
day_1,Cold cloudy day,0.45,90,22.5,-0.8801,0.0,20.0,area_core_01,4.826091020616902
day_1,Cold cloudy day,0.45,91,22.75,-0.9944,0.0,20.0,area_core_01,4.854532532252219
day_1,Cold cloudy day,0.45,92,23.0,-1.0981,0.0,20.0,area_core_01,4.8803364233859226
day_1,Cold cloudy day,0.45,93,23.25,-1.1906,0.0,20.0,area_core_01,4.903353394744337
day_1,Cold cloudy day,0.45,94,23.5,-1.2716,0.0,20.0,area_core_01,4.923508796690624
day_1,Cold cloudy day,0.45,95,23.75,-1.3408,0.0,20.0,area_core_01,4.940727979587947
day_1,Cold cloudy day,0.45,0,0.0,-1.3978,0.0,20.0,area_core_02,5.023750980530192
day_1,Cold cloudy day,0.45,1,0.25,-1.4424,0.0,20.0,area_core_02,5.036415529287657
day_1,Cold cloudy day,0.45,2,0.5,-1.4743,0.0,20.0,area_core_02,5.04547380519266
day_1,Cold cloudy day,0.45,3,0.75,-1.4936,0.0,20.0,area_core_02,5.050954204094434
day_1,Cold cloudy day,0.45,4,1.0,-1.5,0.0,20.0,area_core_02,5.052771538445281
day_1,Cold cloudy day,0.45,5,1.25,-1.4936,0.0,20.0,area_core_02,5.050954204094434
day_1,Cold cloudy day,0.45,6,1.5,-1.4743,0.0,20.0,area_core_02,5.04547380519266
day_1,Cold cloudy day,0.45,7,1.75,-1.4424,0.0,20.0,area_core_02,5.036415529287657
day_1,Cold cloudy day,0.45,8,2.0,-1.3978,0.0,20.0,area_core_02,5.023750980530192
day_1,Cold cloudy day,0.45,9,2.25,-1.3408,0.0,20.0,area_core_02,5.0075653464679615
day_1,Cold cloudy day,0.45,10,2.5,-1.2716,0.0,20.0,area_core_02,4.987915418799426
day_1,Cold cloudy day,0.45,11,2.75,-1.1906,0.0,20.0,area_core_02,4.964914780921519
day_1,Cold cloudy day,0.45,12,3.0,-1.0981,0.0,20.0,area_core_02,4.938648620381932
day_1,Cold cloudy day,0.45,13,3.25,-0.9944,0.0,20.0,area_core_02,4.909202124728364
day_1,Cold cloudy day,0.45,14,3.5,-0.8801,0.0,20.0,area_core_02,4.876745669056205
day_1,Cold cloudy day,0.45,15,3.75,-0.7555,0.0,20.0,area_core_02,4.841364440913152
day_1,Cold cloudy day,0.45,16,4.0,-0.6213,0.0,20.0,area_core_02,4.803257211243828
day_1,Cold cloudy day,0.45,17,4.25,-0.478,0.0,20.0,area_core_02,4.762565959294394
day_1,Cold cloudy day,0.45,18,4.5,-0.3263,0.0,20.0,area_core_02,4.719489456009471
day_1,Cold cloudy day,0.45,19,4.75,-0.1667,0.0,20.0,area_core_02,4.674169680635223
day_1,Cold cloudy day,0.45,20,5.0,0.0,0.0,20.0,area_core_02,4.626833799965504
day_1,Cold cloudy day,0.45,21,5.25,0.1731,0.0,20.0,area_core_02,4.577680584944937
day_1,Cold cloudy day,0.45,22,5.5,0.3519,0.0,20.0,area_core_02,4.526908806518148
day_1,Cold cloudy day,0.45,23,5.75,0.5357,0.0,20.0,area_core_02,4.47471723562976
day_1,Cold cloudy day,0.45,24,6.0,0.7235,0.0,20.0,area_core_02,4.421389830772091
day_1,Cold cloudy day,0.45,25,6.25,0.9147,0.0,20.0,area_core_02,4.367096967040536
day_1,Cold cloudy day,0.45,26,6.5,1.1084,0.0,20.0,area_core_02,4.3120942070781805
day_1,Cold cloudy day,0.45,27,6.75,1.3038,0.0,20.0,area_core_02,4.256608717678882
day_1,Cold cloudy day,0.45,28,7.0,1.5,0.0,20.0,area_core_02,4.200896061485727
day_1,Cold cloudy day,0.45,29,7.25,1.6962,4.5782,20.0,area_core_02,4.134706884148986
day_1,Cold cloudy day,0.45,30,7.5,1.8916,9.1368,20.0,area_core_02,4.0687897252540015
day_1,Cold cloudy day,0.45,31,7.75,2.0853,13.6563,20.0,area_core_02,4.003444770256822
day_1,Cold cloudy day,0.45,32,8.0,2.2765,18.1173,20.0,area_core_02,3.938943579929326
day_1,Cold cloudy day,0.45,33,8.25,2.4643,22.5008,20.0,area_core_02,3.8755851955528717
day_1,Cold cloudy day,0.45,34,8.5,2.6481,26.7878,20.0,area_core_02,3.813583470861121
day_1,Cold cloudy day,0.45,35,8.75,2.8269,30.9602,20.0,area_core_02,3.75326378347022
day_1,Cold cloudy day,0.45,36,9.0,3.0,35.0,20.0,area_core_02,3.6948660946136798
day_1,Cold cloudy day,0.45,37,9.25,3.1667,38.8899,20.0,area_core_02,3.638628763680445
day_1,Cold cloudy day,0.45,38,9.5,3.3263,42.6133,20.0,area_core_02,3.5847885482148882
day_1,Cold cloudy day,0.45,39,9.75,3.478,46.1542,20.0,area_core_02,3.533609228600989
day_1,Cold cloudy day,0.45,40,10.0,3.6213,49.4975,20.0,area_core_02,3.485267338160587
day_1,Cold cloudy day,0.45,41,10.25,3.7555,52.6288,20.0,area_core_02,3.4399946000694133
day_1,Cold cloudy day,0.45,42,10.5,3.8801,55.5347,20.0,area_core_02,3.3979636574553584
day_1,Cold cloudy day,0.45,43,10.75,3.9944,58.2029,20.0,area_core_02,3.3594014279604485
day_1,Cold cloudy day,0.45,44,11.0,4.0981,60.6218,20.0,area_core_02,3.3244196439852214
day_1,Cold cloudy day,0.45,45,11.25,4.1906,62.7811,20.0,area_core_02,3.293212250623708
day_1,Cold cloudy day,0.45,46,11.5,4.2716,64.6716,20.0,area_core_02,3.2658854882379265
day_1,Cold cloudy day,0.45,47,11.75,4.3408,66.2851,20.0,area_core_02,3.2425433088405082
day_1,Cold cloudy day,0.45,48,12.0,4.3978,67.6148,20.0,area_core_02,3.223314856604186
day_1,Cold cloudy day,0.45,49,12.25,4.4424,68.655,20.0,area_core_02,3.2082699668189028
day_1,Cold cloudy day,0.45,50,12.5,4.4743,69.4011,20.0,area_core_02,3.1975043534395144
day_1,Cold cloudy day,0.45,51,12.75,4.4936,69.8501,20.0,area_core_02,3.190996485664937
day_1,Cold cloudy day,0.45,52,13.0,4.5,70.0,20.0,area_core_02,3.1888361277416335
day_1,Cold cloudy day,0.45,53,13.25,4.4936,69.8501,20.0,area_core_02,3.190996485664937
day_1,Cold cloudy day,0.45,54,13.5,4.4743,69.4011,20.0,area_core_02,3.1975043534395144
day_1,Cold cloudy day,0.45,55,13.75,4.4424,68.655,20.0,area_core_02,3.2082699668189028
day_1,Cold cloudy day,0.45,56,14.0,4.3978,67.6148,20.0,area_core_02,3.223314856604186
day_1,Cold cloudy day,0.45,57,14.25,4.3408,66.2851,20.0,area_core_02,3.2425433088405082
day_1,Cold cloudy day,0.45,58,14.5,4.2716,64.6716,20.0,area_core_02,3.2658854882379265
day_1,Cold cloudy day,0.45,59,14.75,4.1906,62.7811,20.0,area_core_02,3.293212250623708
day_1,Cold cloudy day,0.45,60,15.0,4.0981,60.6218,20.0,area_core_02,3.3244196439852214
day_1,Cold cloudy day,0.45,61,15.25,3.9944,58.2029,20.0,area_core_02,3.3594014279604485
day_1,Cold cloudy day,0.45,62,15.5,3.8801,55.5347,20.0,area_core_02,3.3979636574553584
day_1,Cold cloudy day,0.45,63,15.75,3.7555,52.6288,20.0,area_core_02,3.4399946000694133
day_1,Cold cloudy day,0.45,64,16.0,3.6213,49.4975,20.0,area_core_02,3.485267338160587
day_1,Cold cloudy day,0.45,65,16.25,3.478,46.1542,20.0,area_core_02,3.533609228600989
day_1,Cold cloudy day,0.45,66,16.5,3.3263,42.6133,20.0,area_core_02,3.5847885482148882
day_1,Cold cloudy day,0.45,67,16.75,3.1667,38.8899,20.0,area_core_02,3.638628763680445
day_1,Cold cloudy day,0.45,68,17.0,3.0,35.0,20.0,area_core_02,3.6948660946136798
day_1,Cold cloudy day,0.45,69,17.25,2.8269,30.9602,20.0,area_core_02,3.75326378347022
day_1,Cold cloudy day,0.45,70,17.5,2.6481,26.7878,20.0,area_core_02,3.813583470861121
day_1,Cold cloudy day,0.45,71,17.75,2.4643,22.5008,20.0,area_core_02,3.8755851955528717
day_1,Cold cloudy day,0.45,72,18.0,2.2765,18.1173,20.0,area_core_02,3.938943579929326
day_1,Cold cloudy day,0.45,73,18.25,2.0853,13.6563,20.0,area_core_02,4.003444770256822
day_1,Cold cloudy day,0.45,74,18.5,1.8916,9.1368,20.0,area_core_02,4.0687897252540015
day_1,Cold cloudy day,0.45,75,18.75,1.6962,4.5782,20.0,area_core_02,4.134706884148986
day_1,Cold cloudy day,0.45,76,19.0,1.5,0.0,20.0,area_core_02,4.200896061485727
day_1,Cold cloudy day,0.45,77,19.25,1.3038,0.0,20.0,area_core_02,4.256608717678882
