community_id,parameter_draw_id,residual_realization_id,building_count,log_R_median,log_C_median,log_A_median,Qint_mean,log_tau_p10,log_tau_p50,log_tau_p90,robust_medoid_distance,is_selected_typical
e4_rank_lhs_v1__b039__d01,39,1,6,1.8027521693790796,2.5526422407349774,1.3432658020213097,-0.2257454205702267,3.28484773268082,4.425018763643736,5.485299643537544,0.5085648449432306,True
e4_rank_lhs_v1__b008__d01,8,1,6,1.7450983826909,2.4949936447131025,1.1591940767309594,-0.0598816256368482,3.141186932213376,4.368803145291114,5.647757791077622,0.9704369820145564,False
e4_rank_lhs_v1__b028__d02,28,2,6,1.6857124836227637,2.370545045463596,1.2927515490995112,-0.23980676372156892,3.288236086161554,4.40797932299561,5.523663305147355,1.4344659360381682,False
e4_rank_lhs_v1__b044__d00,44,0,6,1.874015289487665,2.5613676740131726,1.3040142794757608,-0.05472325362678169,3.206378250428581,4.446052371935631,5.857022638364105,1.4712465937686163,False
e4_rank_lhs_v1__b022__d01,22,1,6,1.9543173008920718,2.4782135411484907,1.3133844258329943,-0.11101522235566406,3.5428146967364773,4.4990027685982295,5.413312628598609,1.5040903228219387,False
e4_rank_lhs_v1__b009__d03,9,3,6,1.8655986032104654,2.494445946704179,1.4025042876390308,-0.25775461400746186,3.6422676490255457,4.415552540576906,5.607444679743583,1.6935750443693034,False
e4_rank_lhs_v1__b044__d01,44,1,6,1.7325829105064812,2.662994599405925,1.2670847245952204,-0.1382122070161004,3.643896822427057,4.197889031756125,5.541795258090265,1.7813456664857068,False
e4_rank_lhs_v1__b039__d02,39,2,6,1.7641647734743482,2.541265511138487,1.2442245427236838,-0.24897037478717957,3.052236852480342,4.566046084171507,5.387294910560451,1.8845958022990899,False
e4_rank_lhs_v1__b016__d03,16,3,6,1.7350495920154372,2.463537962282359,1.280564184116293,-0.2436845318611184,3.1071881919204087,4.101083859794897,5.61586631763682,1.896729693548536,False
e4_rank_lhs_v1__b048__d01,48,1,6,1.7825925413337265,2.592396430108523,1.3524167258393178,-0.2589142195558371,3.26808056812769,4.30105931263537,5.8734853042883,1.8972335028737963,False
e4_rank_lhs_v1__b022__d03,22,3,6,1.7980030781930654,2.384430154133297,1.417166716457479,-0.19035444668495818,3.6414307752442916,4.173982140655489,5.4431940319967325,1.9065107675194928,False
e4_rank_lhs_v1__b048__d02,48,2,6,1.8815665739157121,2.5772641272759165,1.2673641421845498,-0.20783310685827897,3.3055892348698857,4.369327576612679,5.914178640663987,1.9328935649071057,False
e4_rank_lhs_v1__b038__d02,38,2,6,1.8679076591484716,2.6165470356129923,1.1708444755064917,-0.08466095597751644,3.5672638664088634,4.072066196225889,5.616277525606923,2.018376982254307,False
e4_rank_lhs_v1__b016__d01,16,1,6,1.8209418480856727,2.5667665270260036,1.149340235925966,-0.1580290524616247,3.6683852723127632,4.609172750427145,5.4019634545579684,2.0614106884241283,False
e4_rank_lhs_v1__b044__d03,44,3,6,1.8700142015258596,2.573128075262802,1.4237379838419428,-0.02486772874206263,3.658540673202081,4.523814269697984,5.29893480200545,2.097627214022101,False
e4_rank_lhs_v1__b013__d02,13,2,6,1.9057378381164,2.5066328765557335,1.3797377742757917,-0.33467225860269706,3.37568248663736,4.337058605014625,5.720926429909385,2.1031754815560486,False
e4_rank_lhs_v1__b026__d01,26,1,6,1.6691034959235513,2.545831759692172,1.3626411888469696,0.06108015834998376,3.1244903069618433,4.3745916090904915,5.3011303447557,2.124819861898413,False
e4_rank_lhs_v1__b008__d00,8,0,6,1.7945018605253444,2.648996683627665,1.3218849005970226,-0.04259141779594069,3.1388653966872746,4.602591875167888,5.205986359534438,2.2796064074637905,False
e4_rank_lhs_v1__b033__d02,33,2,6,1.6454959888322138,2.3532568106405947,1.4431141514829244,-0.06569704549084154,3.5757445636854506,4.393621125749181,5.412643345362928,2.345914576863911,False
e4_rank_lhs_v1__b001__d02,1,2,6,1.8209109667003909,2.458201802387059,1.3635409132030154,-0.4007447774217419,3.469611007190337,4.360948232975638,5.422418189513026,2.3927277553880604,False
e4_rank_lhs_v1__b008__d02,8,2,6,1.737413829958057,2.5722250592236082,0.9934601838564887,-0.08554900134809096,3.088622438062078,4.314839341285762,5.466160165423824,2.4172174429841555,False
e4_rank_lhs_v1__b022__d02,22,2,6,1.7658938998523896,2.4446395522475166,1.27769328841937,-0.2568447879639675,3.758163753884695,4.190813565896689,5.443816440451868,2.454531224338392,False
e4_rank_lhs_v1__b011__d02,11,2,6,1.8510361542365272,2.475373153013896,1.4231089003452364,-0.32578408456359936,3.4596237338468043,4.076115628109392,5.625489310137786,2.489089030283338,False
e4_rank_lhs_v1__b022__d00,22,0,6,1.9927812493764843,2.4438967159682723,1.4336980703159408,-0.15238637265899063,3.333386445137124,4.248414198482774,5.774355503590188,2.5060327012738917,False
e4_rank_lhs_v1__b045__d00,45,0,6,1.7021125715135317,2.6552296789833982,1.3226911588303203,0.1068297959409803,3.4378365244057614,4.370267466768829,5.251109051717565,2.5065077560905857,False
e4_rank_lhs_v1__b019__d00,19,0,6,1.7420630739203227,2.413616617560141,1.2270283987957558,0.07301464020253919,3.294529262741863,4.242131847790182,5.139868210346206,2.51590515423142,False
e4_rank_lhs_v1__b013__d03,13,3,6,1.927983751382687,2.4391903943597666,1.2897553621766749,-0.26585854084355276,3.673056720814648,4.501336035982861,5.395813979796822,2.5501003749089253,False
e4_rank_lhs_v1__b028__d01,28,1,6,1.8556827629786143,2.4690770796088906,1.048780758333945,-0.2713235862621666,3.535371522974239,4.177886192317557,5.649053062898762,2.6244697413833658,False
e4_rank_lhs_v1__b044__d02,44,2,6,1.7815435551772234,2.5196838096770238,1.1997873436838296,-0.006778184655485038,3.2096018709832768,3.997442411151083,5.85054964915706,2.6877741643453184,False
e4_rank_lhs_v1__b005__d00,5,0,6,1.852634652527635,2.491908500896347,1.507509150609494,-0.10305361333806555,3.596966664738307,4.636538113264677,5.823260494199161,2.7073545179929224,False
e4_rank_lhs_v1__b036__d03,36,3,6,1.7886176601184698,2.67456408263072,1.4340468961324202,-0.10664336051260932,3.1030641276658217,4.727709224316284,5.42883281698629,2.7202450414934276,False
e4_rank_lhs_v1__b038__d01,38,1,6,1.8033126480419868,2.7966726908090025,1.359607595568102,-0.20465101076178163,3.4249004604632773,4.347507103116147,5.727721036713355,2.722699477731085,False
e4_rank_lhs_v1__b048__d00,48,0,6,1.8829503861056103,2.5483824361796836,1.3626206869055544,-0.41637806457649856,3.43608296713714,4.392816578919383,5.6419747026035445,2.797048676932594,False
e4_rank_lhs_v1__b045__d01,45,1,6,1.7777095427876395,2.3766121078921065,1.298606166725859,-0.062400489477375115,3.3633884822064872,4.048724246998237,5.9309443696737025,2.799284707491628,False
e4_rank_lhs_v1__b002__d02,2,2,6,1.9316598122846307,2.63326959931714,1.2844728373312413,-0.04341810083916938,3.321159614214893,4.510304106591352,5.956279355167062,2.8498882667017673,False
e4_rank_lhs_v1__b001__d03,1,3,6,1.7991261928244344,2.5816789428768745,1.5368381893492955,-0.18184652824070344,3.5831967260927797,4.040897279388507,5.712077290475181,2.900349535125613,False
e4_rank_lhs_v1__b039__d00,39,0,6,1.6762975310351549,2.5699649971883156,1.526345048020453,-0.2367350675304869,3.658539343821425,4.199512946944429,5.558286865793217,2.936555503314406,False
