typical_day_id,display_day_label,weight,timestep_index,hour,outdoor_temperature_C,solar_radiation_W_m2,setpoint_C,building_id,heat_kw
day_1,Cold cloudy day,0.45,0,0.0,-1.3978,0.0,20.0,4,4.5182945591254695
day_1,Cold cloudy day,0.45,1,0.25,-1.4424,0.0,20.0,4,4.527877251966743
day_1,Cold cloudy day,0.45,2,0.5,-1.4743,0.0,20.0,4,4.534731240792676
day_1,Cold cloudy day,0.45,3,0.75,-1.4936,0.0,20.0,4,4.538878011461658
day_1,Cold cloudy day,0.45,4,1.0,-1.5,0.0,20.0,4,4.540253106398522
day_1,Cold cloudy day,0.45,5,1.25,-1.4936,0.0,20.0,4,4.538878011461658
day_1,Cold cloudy day,0.45,6,1.5,-1.4743,0.0,20.0,4,4.534731240792676
day_1,Cold cloudy day,0.45,7,1.75,-1.4424,0.0,20.0,4,4.527877251966743
day_1,Cold cloudy day,0.45,8,2.0,-1.3978,0.0,20.0,4,4.5182945591254695
day_1,Cold cloudy day,0.45,9,2.25,-1.3408,0.0,20.0,4,4.506047619844021
day_1,Cold cloudy day,0.45,10,2.5,-1.2716,0.0,20.0,4,4.491179405839175
day_1,Cold cloudy day,0.45,11,2.75,-1.1906,0.0,20.0,4,4.473775860544486
day_1,Cold cloudy day,0.45,12,3.0,-1.0981,0.0,20.0,4,4.453901441535118
day_1,Cold cloudy day,0.45,13,3.25,-0.9944,0.0,20.0,4,4.431620606386238
day_1,Cold cloudy day,0.45,14,3.5,-0.8801,0.0,20.0,4,4.407062270248176
day_1,Cold cloudy day,0.45,15,3.75,-0.7555,0.0,20.0,4,4.380290890696099
day_1,Cold cloudy day,0.45,16,4.0,-0.6213,0.0,20.0,4,4.351456868738724
day_1,Cold cloudy day,0.45,17,4.25,-0.478,0.0,20.0,4,4.320667633667996
day_1,Cold cloudy day,0.45,18,4.5,-0.3263,0.0,20.0,4,4.288073586492632
day_1,Cold cloudy day,0.45,19,4.75,-0.1667,0.0,20.0,4,4.2537821565045775
day_1,Cold cloudy day,0.45,20,5.0,0.0,0.0,20.0,4,4.217965230570939
day_1,Cold cloudy day,0.45,21,5.25,0.1731,0.0,20.0,4,4.180773209700435
day_1,Cold cloudy day,0.45,22,5.5,0.3519,0.0,20.0,4,4.1423564949017875
day_1,Cold cloudy day,0.45,23,5.75,0.5357,0.0,20.0,4,4.102865487183714
day_1,Cold cloudy day,0.45,24,6.0,0.7235,0.0,20.0,4,4.062515045130101
day_1,Cold cloudy day,0.45,25,6.25,0.9147,0.0,20.0,4,4.021434083891278
day_1,Cold cloudy day,0.45,26,6.5,1.1084,0.0,20.0,4,3.9798159761927434
day_1,Cold cloudy day,0.45,27,6.75,1.3038,0.0,20.0,4,3.9378326089016036
day_1,Cold cloudy day,0.45,28,7.0,1.5,0.0,20.0,4,3.895677354743355
day_1,Cold cloudy day,0.45,29,7.25,1.6962,4.5782,20.0,4,3.853021555449561
day_1,Cold cloudy day,0.45,30,7.5,1.8916,9.1368,20.0,4,3.810539785935953
day_1,Cold cloudy day,0.45,31,7.75,2.0853,13.6563,20.0,4,3.7684275509078775
day_1,Cold cloudy day,0.45,32,8.0,2.2765,18.1173,20.0,4,3.7268588582790607
day_1,Cold cloudy day,0.45,33,8.25,2.4643,22.5008,20.0,4,3.686029158088697
day_1,Cold cloudy day,0.45,34,8.5,2.6481,26.7878,20.0,4,3.6460694428008176
day_1,Cold cloudy day,0.45,35,8.75,2.8269,30.9602,20.0,4,3.607196549913935
day_1,Cold cloudy day,0.45,36,9.0,3.0,35.0,20.0,4,3.569562848418169
day_1,Cold cloudy day,0.45,37,9.25,3.1667,38.8899,20.0,4,3.533320630771027
day_1,Cold cloudy day,0.45,38,9.5,3.3263,42.6133,20.0,4,3.498622112897407
day_1,Cold cloudy day,0.45,39,9.75,3.478,46.1542,20.0,4,3.465640930981216
day_1,Cold cloudy day,0.45,40,10.0,3.6213,49.4975,20.0,4,3.434486165232127
day_1,Cold cloudy day,0.45,41,10.25,3.7555,52.6288,20.0,4,3.405309791043977
day_1,Cold cloudy day,0.45,42,10.5,3.8801,55.5347,20.0,4,3.3782207027615287
