community_id,parameter_draw_id,residual_realization_id,building_count,log_R_median,log_C_median,log_A_median,Qint_mean,log_tau_p10,log_tau_p50,log_tau_p90,robust_medoid_distance,is_selected_typical
shrunk_copula__b003__r001,3,1,4,1.862513801731922,2.515279021980545,1.062356250761692,-0.29492438117108144,3.896970474905984,4.280264346241289,5.300945299713899,0.5070237841136181,True
shrunk_copula__b017__r001,17,1,4,2.002196768678356,2.6727078764769967,1.2212543348187705,-0.20649831763438853,3.6963593412964233,4.854039143354337,5.145424034086746,0.5654996873546123,False
shrunk_copula__b014__r001,14,1,4,2.0470868336992183,2.4564871404120137,1.3519770602020884,-0.3734050463819791,3.579367540005805,4.580021368997641,4.984536643515103,0.5914228954536607,False
shrunk_copula__b001__r000,1,0,4,2.0391583424120454,2.8196221295208805,1.164694411059167,-0.16565895789780266,3.9415417525230607,4.728554832937251,5.373911392708852,0.8122070195315301,False
shrunk_copula__b000__r000,0,0,4,2.102625166026709,2.6161777621256856,0.9275448161937455,-0.1432815099220221,3.815203271689554,4.424190950759902,5.3080540482071354,0.9505497470782354,False
shrunk_copula__b008__r001,8,1,4,1.623470788837499,2.64740573433063,1.5616178792178421,-0.3113839901378338,3.795562036314486,4.205954590437608,5.175820029189525,1.1409153337943239,False
shrunk_copula__b043__r000,43,0,4,2.035271690773404,2.4184938753085685,1.332967185282184,-0.12221674932261617,4.249024018119539,4.827677758228065,5.440539770664465,1.1409942578673817,False
shrunk_copula__b014__r000,14,0,4,1.7034148163559126,2.681539486673559,1.1473675803418555,-0.08685143179427024,3.710436522398478,4.5172177784229826,4.717896162381235,1.1863049523663576,False
shrunk_copula__b029__r000,29,0,4,1.9663758610825814,2.409762081218335,1.2864505289128074,0.04286580411828672,3.2191433212409866,4.440608305888343,5.556432459082451,1.35277147626577,False
shrunk_copula__b044__r001,44,1,4,1.709260503963574,2.7712499478146704,1.4271271950632527,-0.2525940034298153,3.952799917953297,4.115980769544134,4.8482629061572995,1.4338605794761685,False
shrunk_copula__b030__r000,30,0,4,1.84307817081993,2.4526403383996467,1.4729918266226423,-0.40787217468022924,3.993290528616531,4.236960828303573,4.633322437160967,1.5056531240790991,False
shrunk_copula__b020__r000,20,0,4,2.209852764616204,2.3062934984853083,1.1030610604033138,-0.5533115041417996,4.006289672044547,4.748311011550756,5.069553582679502,2.013254909468746,False
shrunk_copula__b019__r000,19,0,4,1.6417338996773316,2.779929815937284,1.8458498177951776,-0.3180804059079683,3.976580273041562,4.490237687673287,5.133554061952069,2.1025951724021423,False
shrunk_copula__b019__r001,19,1,4,1.8864252797244818,2.465761279778241,1.6414675487004717,-0.5604518969899085,3.2782723750086116,4.228905365504552,5.763612505927961,2.28252463370677,False
