typical_day_id,display_day_label,weight,timestep_index,hour,outdoor_temperature_C,solar_radiation_W_m2,setpoint_C,building_id,heat_kw
day_1,Cold cloudy day,0.45,0,0.0,-1.3978,0.0,20.0,building_1,5.074396546176113
day_1,Cold cloudy day,0.45,1,0.25,-1.4424,0.0,20.0,building_1,5.085747850378332
day_1,Cold cloudy day,0.45,2,0.5,-1.4743,0.0,20.0,building_1,5.093866832531937
day_1,Cold cloudy day,0.45,3,0.75,-1.4936,0.0,20.0,building_1,5.0987789439916416
day_1,Cold cloudy day,0.45,4,1.0,-1.5,0.0,20.0,building_1,5.100407830693305
day_1,Cold cloudy day,0.45,5,1.25,-1.4936,0.0,20.0,building_1,5.0987789439916416
day_1,Cold cloudy day,0.45,6,1.5,-1.4743,0.0,20.0,building_1,5.093866832531937
day_1,Cold cloudy day,0.45,7,1.75,-1.4424,0.0,20.0,building_1,5.085747850378332
day_1,Cold cloudy day,0.45,8,2.0,-1.3978,0.0,20.0,building_1,5.074396546176113
day_1,Cold cloudy day,0.45,9,2.25,-1.3408,0.0,20.0,building_1,5.0598892739894215
day_1,Cold cloudy day,0.45,10,2.5,-1.2716,0.0,20.0,building_1,5.042276936527681
day_1,Cold cloudy day,0.45,11,2.75,-1.1906,0.0,20.0,building_1,5.021661339209751
day_1,Cold cloudy day,0.45,12,3.0,-1.0981,0.0,20.0,building_1,4.998118836099767
day_1,Cold cloudy day,0.45,13,3.25,-0.9944,0.0,20.0,building_1,4.971725781261872
day_1,Cold cloudy day,0.45,14,3.5,-0.8801,0.0,20.0,building_1,4.942634882824348
day_1,Cold cloudy day,0.45,15,3.75,-0.7555,0.0,20.0,building_1,4.910922494851333
day_1,Cold cloudy day,0.45,16,4.0,-0.6213,0.0,20.0,building_1,4.876766776825822
day_1,Cold cloudy day,0.45,17,4.25,-0.478,0.0,20.0,building_1,4.840294985521384
day_1,Cold cloudy day,0.45,18,4.5,-0.3263,0.0,20.0,building_1,4.801685280421011
day_1,Cold cloudy day,0.45,19,4.75,-0.1667,0.0,20.0,building_1,4.761064918298271
day_1,Cold cloudy day,0.45,20,5.0,0.0,0.0,20.0,building_1,4.7186375099908755
day_1,Cold cloudy day,0.45,21,5.25,0.1731,0.0,20.0,building_1,4.6745812149818144
day_1,Cold cloudy day,0.45,22,5.5,0.3519,0.0,20.0,building_1,4.629074192754085
day_1,Cold cloudy day,0.45,23,5.75,0.5357,0.0,20.0,building_1,4.5822946027906815
day_1,Cold cloudy day,0.45,24,6.0,0.7235,0.0,20.0,building_1,4.534496958638736
day_1,Cold cloudy day,0.45,25,6.25,0.9147,0.0,20.0,building_1,4.485833968426534
day_1,Cold cloudy day,0.45,26,6.5,1.1084,0.0,20.0,building_1,4.436534694346493
day_1,Cold cloudy day,0.45,27,6.75,1.3038,0.0,20.0,building_1,4.386802747236324
day_1,Cold cloudy day,0.45,28,7.0,1.5,0.0,20.0,building_1,4.336867189288445
day_1,Cold cloudy day,0.45,29,7.25,1.6962,4.5782,20.0,building_1,4.248959657324797
day_1,Cold cloudy day,0.45,30,7.5,1.8916,9.1368,20.0,building_1,4.161418300239465
day_1,Cold cloudy day,0.45,31,7.75,2.0853,13.6563,20.0,building_1,4.074633914857106
day_1,Cold cloudy day,0.45,32,8.0,2.2765,18.1173,20.0,building_1,3.988971017239297
day_1,Cold cloudy day,0.45,33,8.25,2.4643,22.5008,20.0,building_1,3.90481625716884
day_1,Cold cloudy day,0.45,34,8.5,2.6481,26.7878,20.0,building_1,3.822479930364405
day_1,Cold cloudy day,0.45,35,8.75,2.8269,30.9602,20.0,building_1,3.7423666732881755
day_1,Cold cloudy day,0.45,36,9.0,3.0,35.0,20.0,building_1,3.6648039389298277
day_1,Cold cloudy day,0.45,37,9.25,3.1667,38.8899,20.0,building_1,3.5901133744204423
day_1,Cold cloudy day,0.45,38,9.5,3.3263,42.6133,20.0,building_1,3.518610821032508
day_1,Cold cloudy day,0.45,39,9.75,3.478,46.1542,20.0,building_1,3.450632594943004
day_1,Cold cloudy day,0.45,40,10.0,3.6213,49.4975,20.0,building_1,3.386431193589436
day_1,Cold cloudy day,0.45,41,10.25,3.7555,52.6288,20.0,building_1,3.3263042112601413
