typical_day_id,display_day_label,weight,timestep_index,hour,outdoor_temperature_C,solar_radiation_W_m2,setpoint_C,building_id,heat_kw
day_1,Cold cloudy day,0.45,0,0.0,-1.3978,0.0,20.0,building_1,5.622350089471608
day_1,Cold cloudy day,0.45,1,0.25,-1.4424,0.0,20.0,building_1,5.633500524145244
day_1,Cold cloudy day,0.45,2,0.5,-1.4743,0.0,20.0,building_1,5.641475835044101
day_1,Cold cloudy day,0.45,3,0.75,-1.4936,0.0,20.0,building_1,5.646301023142783
day_1,Cold cloudy day,0.45,4,1.0,-1.5,0.0,20.0,building_1,5.647901085517475
day_1,Cold cloudy day,0.45,5,1.25,-1.4936,0.0,20.0,building_1,5.646301023142783
day_1,Cold cloudy day,0.45,6,1.5,-1.4743,0.0,20.0,building_1,5.641475835044101
day_1,Cold cloudy day,0.45,7,1.75,-1.4424,0.0,20.0,building_1,5.633500524145244
day_1,Cold cloudy day,0.45,8,2.0,-1.3978,0.0,20.0,building_1,5.622350089471608
day_1,Cold cloudy day,0.45,9,2.25,-1.3408,0.0,20.0,building_1,5.608099533947005
day_1,Cold cloudy day,0.45,10,2.5,-1.2716,0.0,20.0,building_1,5.590798859520644
day_1,Cold cloudy day,0.45,11,2.75,-1.1906,0.0,20.0,building_1,5.570548070090946
day_1,Cold cloudy day,0.45,12,3.0,-1.0981,0.0,20.0,building_1,5.547422168581722
day_1,Cold cloudy day,0.45,13,3.25,-0.9944,0.0,20.0,building_1,5.521496157916786
day_1,Cold cloudy day,0.45,14,3.5,-0.8801,0.0,20.0,building_1,5.492920043943767
day_1,Cold cloudy day,0.45,15,3.75,-0.7555,0.0,20.0,building_1,5.461768829586478
day_1,Cold cloudy day,0.45,16,4.0,-0.6213,0.0,20.0,building_1,5.4282175216671495
day_1,Cold cloudy day,0.45,17,4.25,-0.478,0.0,20.0,building_1,5.392391125058806
day_1,Cold cloudy day,0.45,18,4.5,-0.3263,0.0,20.0,building_1,5.354464646583677
day_1,Cold cloudy day,0.45,19,4.75,-0.1667,0.0,20.0,building_1,5.314563091114789
day_1,Cold cloudy day,0.45,20,5.0,0.0,0.0,20.0,building_1,5.272886466448978
day_1,Cold cloudy day,0.45,21,5.25,0.1731,0.0,20.0,building_1,5.229609779408473
day_1,Cold cloudy day,0.45,22,5.5,0.3519,0.0,20.0,building_1,5.184908036815508
day_1,Cold cloudy day,0.45,23,5.75,0.5357,0.0,20.0,building_1,5.138956245492315
day_1,Cold cloudy day,0.45,24,6.0,0.7235,0.0,20.0,building_1,5.092004415184938
day_1,Cold cloudy day,0.45,25,6.25,0.9147,0.0,20.0,building_1,5.044202551741008
day_1,Cold cloudy day,0.45,26,6.5,1.1084,0.0,20.0,building_1,4.995775663931963
day_1,Cold cloudy day,0.45,27,6.75,1.3038,0.0,20.0,building_1,4.94692375955464
day_1,Cold cloudy day,0.45,28,7.0,1.5,0.0,20.0,building_1,4.89787184738048
day_1,Cold cloudy day,0.45,29,7.25,1.6962,4.5782,20.0,building_1,4.795784404027289
day_1,Cold cloudy day,0.45,30,7.5,1.8916,9.1368,20.0,building_1,4.694124021987845
day_1,Cold cloudy day,0.45,31,7.75,2.0853,13.6563,20.0,building_1,4.593341605114182
day_1,Cold cloudy day,0.45,32,8.0,2.2765,18.1173,20.0,building_1,4.4938618978474265
day_1,Cold cloudy day,0.45,33,8.25,2.4643,22.5008,20.0,building_1,4.3961300118580615
day_1,Cold cloudy day,0.45,34,8.5,2.6481,26.7878,20.0,building_1,4.30051605589276
day_1,Cold cloudy day,0.45,35,8.75,2.8269,30.9602,20.0,building_1,4.207479716669811
day_1,Cold cloudy day,0.45,36,9.0,3.0,35.0,20.0,building_1,4.117404519547386
day_1,Cold cloudy day,0.45,37,9.25,3.1667,38.8899,20.0,building_1,4.030665880829477
day_1,Cold cloudy day,0.45,38,9.5,3.3263,42.6133,20.0,building_1,3.9476311077659005
day_1,Cold cloudy day,0.45,39,9.75,3.478,46.1542,20.0,building_1,3.868685557963214
