typical_day_id,display_day_label,weight,timestep_index,hour,outdoor_temperature_C,solar_radiation_W_m2,setpoint_C,building_id,heat_kw
day_1,Cold cloudy day,0.45,0,0.0,-1.3978,0.0,20.0,building_1,3.810232980014955
day_1,Cold cloudy day,0.45,1,0.25,-1.4424,0.0,20.0,building_1,3.816163548737375
day_1,Cold cloudy day,0.45,2,0.5,-1.4743,0.0,20.0,building_1,3.8204053680702272
day_1,Cold cloudy day,0.45,3,0.75,-1.4936,0.0,20.0,building_1,3.8229717352527994
day_1,Cold cloudy day,0.45,4,1.0,-1.5,0.0,20.0,building_1,3.8238227585672275
day_1,Cold cloudy day,0.45,5,1.25,-1.4936,0.0,20.0,building_1,3.8229717352527994
day_1,Cold cloudy day,0.45,6,1.5,-1.4743,0.0,20.0,building_1,3.8204053680702272
day_1,Cold cloudy day,0.45,7,1.75,-1.4424,0.0,20.0,building_1,3.816163548737375
day_1,Cold cloudy day,0.45,8,2.0,-1.3978,0.0,20.0,building_1,3.810232980014955
day_1,Cold cloudy day,0.45,9,2.25,-1.3408,0.0,20.0,building_1,3.8026535536208304
day_1,Cold cloudy day,0.45,10,2.5,-1.2716,0.0,20.0,building_1,3.7934518640335773
day_1,Cold cloudy day,0.45,11,2.75,-1.1906,0.0,20.0,building_1,3.7826811002103473
day_1,Cold cloudy day,0.45,12,3.0,-1.0981,0.0,20.0,building_1,3.7703811538690046
day_1,Cold cloudy day,0.45,13,3.25,-0.9944,0.0,20.0,building_1,3.7565919167274133
day_1,Cold cloudy day,0.45,14,3.5,-0.8801,0.0,20.0,building_1,3.7413931722213
day_1,Cold cloudy day,0.45,15,3.75,-0.7555,0.0,20.0,building_1,3.7248248120685297
day_1,Cold cloudy day,0.45,16,4.0,-0.6213,0.0,20.0,building_1,3.706979916944117
day_1,Cold cloudy day,0.45,17,4.25,-0.478,0.0,20.0,building_1,3.687924973044502
day_1,Cold cloudy day,0.45,18,4.5,-0.3263,0.0,20.0,building_1,3.6677530610447
day_1,Cold cloudy day,0.45,19,4.75,-0.1667,0.0,20.0,building_1,3.6465306671411506
day_1,Cold cloudy day,0.45,20,5.0,0.0,0.0,20.0,building_1,3.6243641692481585
day_1,Cold cloudy day,0.45,21,5.25,0.1731,0.0,20.0,building_1,3.6013466480407375
day_1,Cold cloudy day,0.45,22,5.5,0.3519,0.0,20.0,building_1,3.5775711841939044
day_1,Cold cloudy day,0.45,23,5.75,0.5357,0.0,20.0,building_1,3.553130858382675
day_1,Cold cloudy day,0.45,24,6.0,0.7235,0.0,20.0,building_1,3.528158642999927
day_1,Cold cloudy day,0.45,25,6.25,0.9147,0.0,20.0,building_1,3.5027343214813897
day_1,Cold cloudy day,0.45,26,6.5,1.1084,0.0,20.0,building_1,3.476977568980654
day_1,Cold cloudy day,0.45,27,6.75,1.3038,0.0,20.0,building_1,3.4509947634120235
day_1,Cold cloudy day,0.45,28,7.0,1.5,0.0,20.0,building_1,3.424905579929089
day_1,Cold cloudy day,0.45,29,7.25,1.6962,4.5782,20.0,building_1,3.3551198053915607
