typical_day_id,display_day_label,weight,timestep_index,hour,outdoor_temperature_C,solar_radiation_W_m2,setpoint_C,building_id,heat_kw
day_1,Cold cloudy day,0.45,0,0.0,-1.3978,0.0,20.0,building_1,6.506799983719624
day_1,Cold cloudy day,0.45,1,0.25,-1.4424,0.0,20.0,building_1,6.521443856385411
day_1,Cold cloudy day,0.45,2,0.5,-1.4743,0.0,20.0,building_1,6.5319178370589235
day_1,Cold cloudy day,0.45,3,0.75,-1.4936,0.0,20.0,building_1,6.538254759535374
day_1,Cold cloudy day,0.45,4,1.0,-1.5,0.0,20.0,building_1,6.540356122429119
day_1,Cold cloudy day,0.45,5,1.25,-1.4936,0.0,20.0,building_1,6.538254759535374
day_1,Cold cloudy day,0.45,6,1.5,-1.4743,0.0,20.0,building_1,6.5319178370589235
day_1,Cold cloudy day,0.45,7,1.75,-1.4424,0.0,20.0,building_1,6.521443856385411
day_1,Cold cloudy day,0.45,8,2.0,-1.3978,0.0,20.0,building_1,6.506799983719624
day_1,Cold cloudy day,0.45,9,2.25,-1.3408,0.0,20.0,building_1,6.488084720447206
day_1,Cold cloudy day,0.45,10,2.5,-1.2716,0.0,20.0,building_1,6.465363734158584
day_1,Cold cloudy day,0.45,11,2.75,-1.1906,0.0,20.0,building_1,6.43876836003462
day_1,Cold cloudy day,0.45,12,3.0,-1.0981,0.0,20.0,building_1,6.408397099460958
day_1,Cold cloudy day,0.45,13,3.25,-0.9944,0.0,20.0,building_1,6.374348453823241
day_1,Cold cloudy day,0.45,14,3.5,-0.8801,0.0,20.0,building_1,6.336819425892759
day_1,Cold cloudy day,0.45,15,3.75,-0.7555,0.0,20.0,building_1,6.295908517055156
day_1,Cold cloudy day,0.45,16,4.0,-0.6213,0.0,20.0,building_1,6.251845563876935
day_1,Cold cloudy day,0.45,17,4.25,-0.478,0.0,20.0,building_1,6.204794735334169
day_1,Cold cloudy day,0.45,18,4.5,-0.3263,0.0,20.0,building_1,6.1549858679933624
day_1,Cold cloudy day,0.45,19,4.75,-0.1667,0.0,20.0,building_1,6.102583130830588
day_1,Cold cloudy day,0.45,20,5.0,0.0,0.0,20.0,building_1,6.047849194207567
day_1,Cold cloudy day,0.45,21,5.25,0.1731,0.0,20.0,building_1,5.991013894690799
day_1,Cold cloudy day,0.45,22,5.5,0.3519,0.0,20.0,building_1,5.932307068846791
day_1,Cold cloudy day,0.45,23,5.75,0.5357,0.0,20.0,building_1,5.871958553242044
day_1,Cold cloudy day,0.45,24,6.0,0.7235,0.0,20.0,building_1,5.810296685828705
day_1,Cold cloudy day,0.45,25,6.25,0.9147,0.0,20.0,building_1,5.747518469378065
day_1,Cold cloudy day,0.45,26,6.5,1.1084,0.0,20.0,building_1,5.683919408047055
day_1,Cold cloudy day,0.45,27,6.75,1.3038,0.0,20.0,building_1,5.619762172197395
day_1,Cold cloudy day,0.45,28,7.0,1.5,0.0,20.0,building_1,5.555342265986015
